IDDIST	NDISTRITO	
07	PLAZA CRUZ
08	CEMENTERIO
09	LAGUNA REDONDA
10	PAJONAL
11	MANUEL RODRGUEZ
12	ESCUELA ARGENTINA
13	GENERAL CRUZ
14	ESTACIN TUCAPEL
15	LO MNDEZ
16	LA TOMA
17	LA PLVORA
18	ANDALIN
19	POBLACIN BAQUEDANO
20	PLAZA CONDELL
21	HOSPITAL
22	PLAZA PER
23	PUCHACAY
24	OBSERVATORIO
25	LARENAS
26	PEDRO DE VALDIVIA
27	BILBAO
28	PALOMARES
29	RANCHO GRANDE
30	CHAIMVIDA
31	LAS ULLOAS
32	LO PEQUN
99	
01	MUNICIPALIDAD
02	VILLA MORA
03	SCHWAGER
04	BUEN RETIRO
05	EL CALABOZO
06	EL MANZANO
07	EL PATAGUAL
08	CORCOVADO
09	PLAYA NEGRA
10	SANTA MARA
11	ESCUADRN
99	
01	LONCO
02	MATADERO
03	FBRICA
04	CHIGUAYANTE
05	LA LEONERA
06	AGUA POTABLE
99	
01	FLORIDA
02	DANQUILCO
03	SAN ANTONIO DE DADI
04	COPIULEMU
05	JUAN CHICO
06	CASABLANCA
99	
01	HUALQUI
02	EL GUILA
03	CHAUQUEL
04	AGUA LARGA
05	MILLAHUE
06	QUINQUIBUENO
07	VEGAS DE DIUCA
08	TALCAMVIDA
09	QUILACOYA
10	SAN ONOFRE
99	
01	LOTA ALTO
02	BANNEN
03	LOTA BAJO
04	CEMENTERIO
05	COLCURA
06	CHIVILINGO
99	
01	PENCO
02	FBRICA
03	LIRQUN
04	LAS PATAGUAS
05	MARGARITAS
06	ANDALIN
99	
01	BATRO
02	BOCA SUR
03	LOS ACACIOS
04	SAN PEDRO
05	LOMAS COLORADAS
06	LOS PINARES
99	
01	SANTA JUANA
02	TRICAUCO
03	TANAHUILLN
04	CURAMVIDA
05	COLICO
06	PASO HONDO
07	SAN JERNIMO
08	ESPIGADO
09	AGUA DEL ORO
10	VAQUERA
11	PALIHUE
99	
01	EL PORTN
02	VALDIVIESO
03	CERRO FUENTES
04	LA ADUANA
05	CERRO BUENAVISTA
06	TUMBES
07	ISLA QUIRIQUINA
08	SAN VICENTE
09	ESTADIO
10	HUACHIPATO
11	ESTADIO HIGUERAS
12	SAN MIGUEL
13	EL ARENAL
14	CARRIEL
15	LAS SALINAS
16	BARRANQUILLA
17	ZUNICO
99	
01	EL PUERTO
02	RALIHUE
03	EL MORRO
04	COLIUMO
05	DICHATO
06	PUD
07	RAFAEL
08	CONUCO
09	SAN ANTONIO
10	CORONEY
11	PUNTA DE PARRA
99	
01	RAMUNTCHO
02	HUALPENCILLO
03	CIUDAD DEL NIO
04	CLUB HPICO
05	BREMEN
06	CERRO VERDE
99	
01	LEBU PONIENTE
02	MILLONHUE
03	RNQUIL
05	LOS CAMBUCHOS
06	PEHUN
07	MORGUILLA
08	SANTA ROSA
09	ISLA MOCHA
10	LEBU ORIENTE
99	
01	LARAQUETE
02	CARAMPANGUE
03	RAMADILLAS
04	ARAUCO
05	LOS ANCOS
06	CARIPILN
07	TUBUL
08	LAVAPI
09	QUIAPO
99	
01	CAETE
02	EL REPOSO
03	LOURDES
04	PILIMPILLI
05	BUTAMALAL
06	CAYUCUPIL
07	PELECO
08	LLONCAO
09	LLENQUEHUE
10	LANALHUE
11	POCUNO
12	ANTIQUINA
99	
01	CONTULMO
02	HUILLINCO
